seconds 	point x 	point y 	point z 	position x	position y	position z	flag    	
3.386   	1.676   	3.845   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.402   	1.550   	3.898   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.419   	1.441   	3.950   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.435   	1.300   	3.996   	-11.138 	-0.000  	1.820   	0.000   	-       	
3.452   	1.157   	4.045   	-11.127 	-0.000  	1.820   	0.000   	-       	
3.469   	1.034   	4.098   	-11.127 	-0.000  	1.820   	0.000   	-       	
3.486   	0.911   	4.150   	-11.127 	-0.000  	1.820   	0.000   	-       	
3.502   	0.787   	4.203   	-11.127 	-0.000  	1.820   	0.000   	-       	
3.519   	0.678   	4.298   	-11.065 	-0.000  	1.820   	0.000   	-       	
3.536   	0.487   	4.332   	-11.065 	-0.000  	1.820   	0.000   	-       	
3.553   	0.313   	4.349   	-11.065 	-0.000  	1.820   	0.000   	-       	
3.569   	0.069   	4.421   	-11.065 	-0.000  	1.820   	0.000   	-       	
3.586   	-0.139  	4.440   	-11.065 	-0.000  	1.820   	0.000   	-       	
3.602   	-0.383  	4.441   	-11.065 	-0.000  	1.820   	0.000   	-       	
3.619   	-0.627  	4.483   	-11.074 	-0.000  	1.820   	0.000   	-       	
3.636   	-0.852  	4.571   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.652   	-1.066  	4.594   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.669   	-1.209  	4.654   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.686   	-1.316  	4.676   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.702   	-1.388  	4.698   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.719   	-1.424  	4.718   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.736   	-1.460  	4.738   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.752   	-1.496  	4.758   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.769   	-1.622  	4.763   	-11.270 	-0.000  	1.820   	0.000   	-       	
3.786   	-1.748  	4.784   	-11.261 	-0.000  	1.820   	0.000   	-       	
3.802   	-1.880  	4.789   	-11.185 	-0.000  	1.820   	0.000   	-       	
3.819   	-1.971  	4.793   	-11.185 	-0.000  	1.820   	0.000   	-       	
3.836   	-2.061  	4.836   	-11.185 	-0.000  	1.820   	0.000   	-       	
3.853   	-2.170  	4.841   	-11.185 	-0.000  	1.820   	0.000   	-       	
3.869   	-2.262  	4.846   	-11.185 	-0.000  	1.820   	0.000   	-       	
3.886   	-2.353  	4.851   	-11.185 	-0.000  	1.820   	0.000   	-       	
3.903   	-2.427  	4.855   	-11.185 	-0.000  	1.820   	0.000   	-       	
3.919   	-2.464  	4.857   	-11.185 	-0.000  	1.820   	0.000   	-       	
3.936   	-2.482  	4.858   	-11.185 	-0.000  	1.820   	0.000   	-       	
3.953   	-2.519  	4.860   	-11.185 	-0.000  	1.820   	0.000   	-       	
3.969   	-2.611  	4.865   	-11.185 	-0.000  	1.820   	0.000   	-       	
3.986   	-2.667  	4.869   	-11.185 	-0.000  	1.820   	0.000   	-       	
4.002   	-2.758  	4.872   	-11.177 	-0.000  	1.820   	0.000   	-       	
4.019   	-2.846  	4.872   	-11.155 	-0.000  	1.820   	0.000   	-       	
4.036   	-2.968  	4.872   	-11.123 	-0.000  	1.820   	0.000   	-       	
4.052   	-3.073  	4.872   	-11.095 	-0.000  	1.820   	0.000   	-       	
4.069   	-3.195  	4.872   	-11.060 	-0.000  	1.820   	0.000   	-       	
4.086   	-3.316  	4.872   	-11.025 	-0.000  	1.820   	0.000   	-       	
4.103   	-3.420  	4.872   	-10.993 	-0.000  	1.820   	0.000   	-       	
4.119   	-3.489  	4.872   	-10.971 	-0.000  	1.820   	0.000   	-       	
4.137   	-3.575  	4.872   	-10.943 	-0.000  	1.820   	0.000   	-       	
4.153   	-3.514  	4.792   	-10.423 	-0.000  	1.820   	0.000   	-       	
